Question,Correct Answer
"Leia o trecho a seguir: “O primeiro passo é entender o modelo de negócio: como planejar e monetizar o serviço que se quer presto pelo aplicativo. O segundo passo é fazer um protótipo do App, desenhando no papel, telinha por telinha. E o terceiro passo: mostrar o protótipo para pessoas que usariam o serviço.”Fonte: GLOBO.COM. Veja dicas de como criar um aplicativo para smartphone. Disponível em: https://g1.globo.com/google/amp/economia/pme/pequenas-empresas-grandes-negocios/noticia/2019/05/19/veja-dicas-de-como-criar-um-aplicativo-para-smartphone.ghtml. Acesso em: 23 Set. 2019.O trecho acima trata das etapas a serem realizadas para o desenvolvimento de aplicativos. Considerando essas informações e o conteúdo estudado, analise as guias disponíveis e a protipação do aplicativo associando-os com as suas respectivas características: 1. IOS Human Interface Guidelines2. Android Styleguide3. Windows Phone Design Guidelines4. MockFlow(  ) Bastante focado no seu layout, se comparado com o guia da Apple, mesmo com o nível de compatibilidade equivalente.( ) Baseia-se em princípios básicos relacionados aos detalhes, rapidez, simplificação.( ) Disponibiliza uma variedade de dicas de como adequar as aplicações para serem aprovadas na “App Store”.( ) Produto criado pela Adobe Air é considerada como um dos instrumentos aplicados para o processo de prototipação direcionados para dispositivos móveis. Agora, assinale a alternativa que apresenta a sequência correta:","2, 3, 1, 4"
"Leia o trecho a seguir:“O aplicativo descobriu no início deste mês a falha que permitia que invasores inserissem o vírus e executassem códigos em dispositivos móveis. Informou ainda que fez alterações em sua infraestrutura no fim da semana passada para impedir que os ataques ocorram, acrescentando que apenas um número seleto de usuários parece ter sido alvo do vírus. ”Fonte: O GLOBO. WhatsApp pede que usuário atualize aplicativo após detectar falha que permite acesso de hacker a celulares. Disponível em: https://oglobo.globo.com/economia/tecnologia/whatsapp-pede-que-usuario-atualize-aplicativo-apos-detectar-falha-que-permite-acesso-de-hacker-celulares-23663379. Acesso em: 23 Set.. 2019.O trecho acima trata das possíveis falhas que podem ocorrer nos aplicativos presentes nos dispositivos móveis. Considerando essas informações e o conteúdo estudado, é possível afirmar que um dos aspectos específicos aos dispositivos móveis que podem se tornar atrativos para os hackers são:",o extensivo número de aplicações desenvolvidos por terceiros.
"Leia o trecho a seguir:“As redes móveis de longo alcance incluem as tecnologias de redes sem fio caracterizadas por possuir alcance em áreas extensas e que estão baseadas nos padrões 3GPP (Third Generation Partnership Project), IEEE 802.16 e tecnologias legadas (2G). Fazem parte também as tecnologias viabilizadoras da quinta geração móvel (5G).”Fonte: CPQD. Comunicações Sem Fio: Suportando as demandas da conectividade móvel. Disponível em: https://www.cpqd.com.br/inovacao/comunicacoes-sem-fio/. Acesso em: 23 Set. 2019.O trecho acima trata das possibilidades que as tecnologias de rede sem fio podem oferecer ao usuário. A partir dessas informações e do conteúdo estudado, podemos definir que as Tecnologias Habilitadoras se caracterizam por:",possibilitarem a sua implantação da comunicação sem fio em todos os lugares.
"Leia o trecho a seguir:“Muitas empresas têm feito dos aplicativos o seu principal negócio e meio de comunicação com o cliente. Mas quais são as habilidades necessárias para se desenvolver um aplicativo Android do zero? Há algumas linguagens de programação que são mais indicadas do que outras para a tarefa, ao mesmo tempo, vale lembrar que é preciso um roteiro bem estruturado para não cometer os erros mais comuns ao desenvolvê-lo.”Fonte: COMPUTERWORLD. As 6 melhores linguagens de programação para desenvolver um app Android. Disponível em: https://computerworld.com.br/2019/09/08/as-6-melhores-linguagens-de-programacao-para-desenvolver-um-app-android/. Acesso em: 23 Set. 2019.O trecho acima apresenta a Importância das linguagens de programação para o Sistema Android. A partir dessas informações e do conteúdo estudado, a principal linguagem de programação empregada para o desenvolvimento de aplicações direcionadas à Plataforma Android é:",Java.
"Leia o trecho a seguir:“O Android é um sistema operacional projetado para dispositivos móveis baseado no núcleo Linux. Esse sistema operacional foi inicialmente desenvolvido pela empresa Android Inc., mas, em 2005, a empresa Google o comprou. Em 2008 foi lançado o primeiro dispositivo comercial com Android.”Fonte: Scheffer, Hudson Cadan. Desenvolvimento para dispositivos Móveis. Editora e Distribuidora S.A, 2018. Londrina- Paraná. Página 10.O trecho cita o histórico do sistema Android. Considerando as informações apresentadas e os conteúdos estudados, é possível afirmar que o Android é:","uma plataforma desenvolvida para os dispositivos móveis, cuja principal característica é ser Open Source, ou seja, aberta e livre para a utilização."
"Leia o trecho a seguir: “A tecnologia é uma aliada das PME’s. Ao integrar soluções móveis, o pequeno empresário capacita seus colaboradores a entregar os melhores resultados. Se um funcionário atua o dia inteiro fora da sede, por exemplo, na captação de clientes, em reuniões com fornecedores ou na equipe de vendas, ele precisa ter seus equipamentos integrados ao sistema operacional da empresa para cumprir suas tarefas com excelência e rapidez ”Fonte: GLOBO.COM. Convergência entre dispositivos móveis: por que adotar na pequena empresa? Disponível em: https://g1.globo.com/economia/pme/pequenas-empresas-grandes-negocios/especial-publicitario/dell/noticia/convergencia-entre-dispositivos-moveis-por-que-adotar-na-pequena-empresa.ghtml Acesso em: 23. Set. 2019.O trecho acima trata da importação dos dispositivos móveis na solução de problemas ligados às pequenas empresas. Assim, considerando os conteúdos, analise as afirmativas a seguir sobre as soluções mais importantes para o desenvolvimento de aplicações de dispositivos portáteis e móveis: I - O ADOBE AIR é definido como uma plataforma para o desenvolvimento e execução de aplicativos construídos em HTML, por exemplo, independente do ambiente computacional.  II - O BlackBerry é um aplicativo focado no mercado público onde a sua construção pode ser realizada em linguagem Java.III - Symbian consiste em um sistema operacional privado (NOKIA) desenvolvido para smartphones.  IV - Windows Phone é um sistema operacional criado pela Google e possibilita o desenvolvimento de aplicações com linguagens Python.Está correto apenas o que se afirma em:",I e III.
"Leia o trecho a seguir:“Se você recebe benefício da Previdência Social já deve saber que todo ano precisa provar que está vivo. Se isso não for feito, o pagamento pode ser suspenso. A novidade é que, ainda este ano, a prova de vida pode ser feita pelo telefone celular, se o beneficiário tiver um aparelho mais moderno. Basta abrir o aplicativo “Meu INSS” e usar a impressão digital ou o reconhecimento facial, da mesma forma que usa para desbloquear a tela do celular. O sistema de reconhecimento biométrico do INSS foi desenvolvido pela Dataprev. ”Fonte: CALEBE, Josué. Prova de vida do INSS poderá ser feita pelo celular. Disponível em: https://www.radioculturafoz.com.br/2019/09/23/prova-de-vida-do-inss-podera-ser-feita-pelo-celular. Acesso em: 23 Set. 2019.O trecho acima trata das possibilidades que os aplicativos instalados nos dispositivos móveis proporcionam para auxiliar o cotidiano das pessoas. A partir dessas informações e do conteúdo estudado, é possível afirmar que os sistemas de Rádio Celular e Comunicações portátil e móvel:",estarão mais alinhadas às demandas do consumidor no que se refere aos avanços tecnológicos na área de processamento.
"Leia o trecho a seguir:“Se você recebe benefício da Previdência Social já deve saber que todo ano precisa provar que está vivo. Se isso não for feito, o pagamento pode ser suspenso. A novidade é que, ainda este ano, a prova de vida pode ser feita pelo telefone celular, se o beneficiário tiver um aparelho mais moderno. Basta abrir o aplicativo “Meu INSS” e usar a impressão digital ou o reconhecimento facial, da mesma forma que usa para desbloquear a tela do celular. O sistema de reconhecimento biométrico do INSS foi desenvolvido pela Dataprev. ”Fonte: CALEBE, Josué. Prova de vida do INSS poderá ser feita pelo celular. Disponível em: https://www.radioculturafoz.com.br/2019/09/23/prova-de-vida-do-inss-podera-ser-feita-pelo-celular. Acesso em: 23 Set. 2019.O trecho acima trata das possibilidades que os aplicativos instalados nos dispositivos móveis proporcionam para auxiliar o cotidiano das pessoas. A partir dessas informações e do conteúdo estudado, é possível afirmar que os sistemas de Rádio Celular e Comunicações portátil e móvel:",estarão mais alinhadas às demandas do consumidor no que se refere aos avanços tecnológicos na área de processamento.
"Leia o trecho a seguir: “O Android SDK é responsável pelo gerenciamento das plataformas disponíveis para o desenvolvimento dos aplicativos no Android. Com esta aplicação, você poderá realizar o download das plataformas, de acordo com a sua necessidade.”Fonte: PLOTZE, Rodrigo. Programação para Dispositivos Móveis. 1ª edição. SESES. Rio de Janeiro, 2017.Página 18. O trecho acima apresenta as características de uma das plataformas utilizadas para o desenvolvimento do Android. A partir dessas informações e do conteúdo estudado, após baixar o Android SDK é necessário verificar, dentre outros aspectos:",certificar de que a opção Start SDK Manager está devidamente marcada.
"Leia o trecho a seguir: “— A vantagem é a flexibilidade de acesso de qualquer lugar, inclusive por dispositivos móveis — diz Davidson Boccardo, diretor dos Green Hat Labs, pertencentes à Clavis Segurança da Informação. — A desvantagem é não ter certeza de como esses dados estão sendo protegidos, não saber que tipo de normas e gestão são empregadas pela empresa. ”Fonte: MACHADO, André. Guardados na ‘nuvem’, arquivos não se perdem. Disponível em: https://oglobo.globo.com/economia/tecnologia/guardados-na-nuvem-arquivos-nao-se-perdem-23232732. Acesso em: 23 Set. 2019.O trecho acima traz as vantagens e desvantagens do acesso de dados, inclusive por meio dos dispositivos móveis. Com base nessas informações e no conteúdo estudado, pode-se afirmar que o arquivamento permanente de dados está relacionado à:",integridade dos dados.
"Leia o trecho a seguir:“Voltado para pequenos negócios, a ferramenta ZeroPaper gera gráficos e relatórios, indicando o que está consumindo mais recursos. Os dados ficam disponíveis em dispositivos móveis e na plataforma web. O Dropbox, por exemplo, permite salvar arquivos que podem ser visualizados em qualquer lugar. ” Fonte: O GLOBO. Dez aplicativos essenciais para micro e pequenos empresários. Disponível em: https://oglobo.globo.com/economia/pequenos-e-medios-negocios/dez-aplicativos-essenciais-para-micro-pequenos-empresarios-13989296. Acesso em: 23 Set.. 2019.O trecho acima trata de um dos mais importantes aplicativos disponíveis nas micro e pequenas empresas. Assim, considerando as informações apresentadas e os conteúdos estudados, podemos afirmar que os aplicativos para dispositivos móveis:",são direcionados para a solução de questões mais peculiares no ambiente corporativo.
"Leia o trecho a seguir:“Muitas empresas têm feito dos aplicativos o seu principal negócio e meio de comunicação com o cliente. Mas quais são as habilidades necessárias para se desenvolver um aplicativo Android do zero? Há algumas linguagens de programação que são mais indicadas do que outras para a tarefa, ao mesmo tempo, vale lembrar que é preciso um roteiro bem estruturado para não cometer os erros mais comuns ao desenvolvê-lo.”Fonte: COMPUTERWORLD. As 6 melhores linguagens de programação para desenvolver um app Android. Disponível em: https://computerworld.com.br/2019/09/08/as-6-melhores-linguagens-de-programacao-para-desenvolver-um-app-android/. Acesso em: 23 Set. 2019.O trecho acima apresenta a Importância das linguagens de programação para o Sistema Android. A partir dessas informações e do conteúdo estudado, a principal linguagem de programação empregada para o desenvolvimento de aplicações direcionadas à Plataforma Android é:",Java.
"Leia o trecho a seguir:“Sem muito alarde, uma nova transformação começou a acontecer neste ano com o lançamento de smartphones com telas que podem ser dobradas ao meio. É como se a pessoa tivesse dois celulares, colocados um sobre o outro. Quando abertos na horizontal, eles formam uma única tela grande, que tem quase o tamanho de um tablet. Fechados, eles podem ser usados com uma mão só e cabem no bolso, como um celular qualquer.”Fonte: AGRELA, Lucas. Tela maior e dobrável é a aposta do momento nos smartphones. Disponível em https://exame.abril.com.br/revista-exame/tela-maior-e-dobravel/. Acesso em: 23 Set.. 2019.O trecho acima trata das evoluções físicas dos smartphones ao longo dos anos e as suas características atuais. Considerando essas informações e o conteúdo estudado, podemos afirmar que os dispositivos móveis disponibilizam uma série de características físicas relacionadas, dentre outros aspectos, ao:","modelo do Computador, Nível de Mobilidade e flexibilidade."
"Leia o trecho a seguir:“É muito comum acessar um site no celular e descobrir que o texto aparece muito pequeno, os links, minúsculos, e o conteúdo impossível de visualizar a contento sem precisar rolar a tela na horizontal. Esses são sinais de que o site não é compatível com dispositivos móveis, o que pode levar a uma experiência frustrante. A nova iniciativa educativa do Google visa a ajudar os usuários a descobrir com antecedência quais sites oferecem uma boa experiência de navegação em dispositivos móveis.”Fonte: TEIXEIRA, Carlos Alberto. Google faz campanha para webmasters adequarem seus sites a dispositivos móveis.  Disponível em: https://oglobo.globo.com/economia/google-faz-campanha-para-webmasters-adequarem-seus-sites-dispositivos-moveis-14804387 Acesso em: 23 Set. 2019.O trecho acima apresenta sugestões para que os sites consigam adaptar as suas páginas para os dispositivos móveis e facilitar a utilização por parte dos usuários. Considerando essas informações e o conteúdo estudado sobre os aspectos mais comuns do usuário de dispositivos móveis, analise as afirmativas a seguir e assinale V para a (s) verdadeira (s) e F para a (s) falsa (s):I. ( ) O tamanho e a força do usuário pouco influencia no nível de interação com o dispositivo móvel.II. ( ) A flexibilidade e destreza são aspectos relacionados ao ambiente onde o dispositivo móvel está inserido. III. ( ) A falta de conhecimento do usuário é algo que vai de encontro aos princípios dos dispositivos móveis, que são a usabilidade e simplicidade.IV. ( ) Os dispositivos móveis apresentam um nível de transportabilidade extremamente fácil à mão. Agora, assinale a alternativa que apresenta a sequência correta:","F, F, V, V."
"Leia o trecho a seguir:“As redes móveis de longo alcance incluem as tecnologias de redes sem fio caracterizadas por possuir alcance em áreas extensas e que estão baseadas nos padrões 3GPP (Third Generation Partnership Project), IEEE 802.16 e tecnologias legadas (2G). Fazem parte também as tecnologias viabilizadoras da quinta geração móvel (5G).”Fonte: CPQD. Comunicações Sem Fio: Suportando as demandas da conectividade móvel. Disponível em: https://www.cpqd.com.br/inovacao/comunicacoes-sem-fio/. Acesso em: 23 Set. 2019.O trecho acima trata das possibilidades que as tecnologias de rede sem fio podem oferecer ao usuário. A partir dessas informações e do conteúdo estudado, podemos definir que as Tecnologias Habilitadoras se caracterizam por:",possibilitarem a sua implantação da comunicação sem fio em todos os lugares.
"Leia o trecho a seguir:“Do ponto de vista técnico, o 3G trabalha visando a transmissão de dados de voz (tipo áudios no WhatsApp) e serviços na internet (navegação de sites, downloads e uso de aplicativos online). É uma conexão mais rápida do que a do 2G.”Fonte: CRUZ, Bruna Souza. 3G, 4G e 5G: entenda a tecnologia por trás da conexão do seu celular. Disponível em: https://www.uol.com.br/tilt/noticias/redacao/2018/10/18/entenda-a-tecnologia-por-tras-do-3g-4g-e-5g.htm. Acesso em: 23 Set. 2019.O trecho acima cita os aspectos da tecnologia 3G A partir dessas informações e do conteúdo estudado, pode-se concluir que a evolução tecnológica do 3G se caracteriza por:",inserir o conceito de HSPA e HSPA+ disponibilizam velocidades diferentes e que variam o sinal e cobertura ofertada pela operadora.
"Leia o trecho a seguir:“O aplicativo descobriu no início deste mês a falha que permitia que invasores inserissem o vírus e executassem códigos em dispositivos móveis. Informou ainda que fez alterações em sua infraestrutura no fim da semana passada para impedir que os ataques ocorram, acrescentando que apenas um número seleto de usuários parece ter sido alvo do vírus. ”Fonte: O GLOBO. WhatsApp pede que usuário atualize aplicativo após detectar falha que permite acesso de hacker a celulares. Disponível em: https://oglobo.globo.com/economia/tecnologia/whatsapp-pede-que-usuario-atualize-aplicativo-apos-detectar-falha-que-permite-acesso-de-hacker-celulares-23663379. Acesso em: 23 Set.. 2019.O trecho acima trata das possíveis falhas que podem ocorrer nos aplicativos presentes nos dispositivos móveis. Considerando essas informações e o conteúdo estudado, é possível afirmar que um dos aspectos específicos aos dispositivos móveis que podem se tornar atrativos para os hackers são:",o extensivo número de aplicações desenvolvidos por terceiros.
"Leia o trecho abaixo: “Do executivo ao catador de recicláveis: muita gente já não consegue viver sem aplicativos. Eraldo Francisco, de 50 anos, conseguiu dobrar a sua renda e trabalhar menos usando o app Cataki, que indica onde há material reciclável.” Fonte: ESPECIAIS G1. Tudo num clique: a vida na era dos apps. Disponível em: http://especiais.g1.globo.com/economia/tecnologia/a-vida-na-era-dos-apps/. Acesso em: 23 set. 2019.Esse trecho refere-se à importância dos aplicativos no cotidiano das pessoas, o que representa uma evolução tecnológica no uso dos dispositivos móveis. A partir dessas informações e do conteúdo estudado a respeito da introdução dos dispositivos móveis podemos afirmar que para a evolução dos dispositivos móveis ocorrer leva-se em consideração o fato:","de que no período em que os mainframes foram utilizados, entre os anos 60 e 80, o acesso era feito por meio de terminais de tamanhos e pesos elevados."
"Leia o trecho a seguir: “O primeiro passo é entender o modelo de negócio: como planejar e monetizar o serviço que se quer presto pelo aplicativo. O segundo passo é fazer um protótipo do App, desenhando no papel, telinha por telinha. E o terceiro passo: mostrar o protótipo para pessoas que usariam o serviço.”Fonte: GLOBO.COM. Veja dicas de como criar um aplicativo para smartphone. Disponível em: https://g1.globo.com/google/amp/economia/pme/pequenas-empresas-grandes-negocios/noticia/2019/05/19/veja-dicas-de-como-criar-um-aplicativo-para-smartphone.ghtml. Acesso em: 23 Set. 2019.O trecho acima trata das etapas a serem realizadas para o desenvolvimento de aplicativos. Considerando essas informações e o conteúdo estudado, analise as guias disponíveis e a protipação do aplicativo associando-os com as suas respectivas características: 1. IOS Human Interface Guidelines2. Android Styleguide3. Windows Phone Design Guidelines4. MockFlow(  ) Bastante focado no seu layout, se comparado com o guia da Apple, mesmo com o nível de compatibilidade equivalente.( ) Baseia-se em princípios básicos relacionados aos detalhes, rapidez, simplificação.( ) Disponibiliza uma variedade de dicas de como adequar as aplicações para serem aprovadas na “App Store”.( ) Produto criado pela Adobe Air é considerada como um dos instrumentos aplicados para o processo de prototipação direcionados para dispositivos móveis. Agora, assinale a alternativa que apresenta a sequência correta:","2, 3, 1, 4"
"Leia o trecho a seguir:“Do ponto de vista técnico, o 3G trabalha visando a transmissão de dados de voz (tipo áudios no WhatsApp) e serviços na internet (navegação de sites, downloads e uso de aplicativos online). É uma conexão mais rápida do que a do 2G.”Fonte: CRUZ, Bruna Souza. 3G, 4G e 5G: entenda a tecnologia por trás da conexão do seu celular. Disponível em: https://www.uol.com.br/tilt/noticias/redacao/2018/10/18/entenda-a-tecnologia-por-tras-do-3g-4g-e-5g.htm. Acesso em: 23 Set. 2019.O trecho acima cita os aspectos da tecnologia 3G A partir dessas informações e do conteúdo estudado, pode-se concluir que a evolução tecnológica do 3G se caracteriza por:",inserir o conceito de HSPA e HSPA+ disponibilizam velocidades diferentes e que variam o sinal e cobertura ofertada pela operadora.
